library,area,Au [at.%],Ir [at.%],k0,log_k0,alpha,j_lim
Au-rich,22,40.31,41.7,0.0109642904366278,-4.513111610868027,0.3192018769623122,7.841399426427285
Au-rich,71,46.82,31.86,0.010762421417284,-4.531694710784886,0.3223051103232094,7.897421916248091
Au-rich,112,48.78,25.0,0.0111063557771357,-4.500237741997656,0.3194900285385738,7.861085198964826
Au-rich,152,54.58,21.73,0.010423528337992,-4.5636896878816895,0.3250187935974835,7.849267908626465
Au-rich,192,61.59,18.3,0.010169678544283,-4.588344677652979,0.3221939500350216,7.90160571569316
Au-rich,232,68.05,14.94,0.0100265707327193,-4.602516636494769,0.3011437974849683,6.6023305163829775
Au-rich,273,68.99,11.13,0.0104048984721517,-4.565478576786096,0.3212218867667184,7.875506793704965
Au-rich,322,71.41,8.01,0.0101515442413278,-4.590129443064023,0.3241513642159354,7.751762947677635
Ir-rich,22,6.16,82.17,0.0047522087091718,-5.349145777605999,0.3039894242622226,7.817898660282148
Ir-rich,71,9.83,73.64,0.0051648658176205,-5.265876155911504,0.3043488648063754,7.997123765390406
Ir-rich,112,11.89,65.1,0.005711455923765,-5.165281309923262,0.3069504144504279,8.021992093850246
Ir-rich,152,16.22,62.63,0.0060392496145768,-5.1094755107505625,0.3017622377550858,8.106147029677928
Ir-rich,192,19.66,60.46,0.0061840366418657,-5.085784042445214,0.2930725465446492,8.03406488360612
Ir-rich,232,25.02,57.11,0.0068670169556781,-4.981025480192998,0.2831555846265584,8.126139168812687
Ir-rich,273,28.63,48.04,0.0080790599290062,-4.818479758637811,0.2894705520173861,8.059846254496582
Ir-rich,322,35.24,37.99,0.0074866997933076,-4.894627193598056,0.2943885350205802,7.965515083512756
Rh-rich,22,12.24,38.71,0.0052458339001503,-5.250321060228896,0.2797008054575446,7.931332859731779
Rh-rich,71,13.75,28.47,0.0051172437490923,-5.275139315137887,0.2870580898131762,7.963273248710934
Rh-rich,112,13.91,21.44,0.0056120380955058,-5.182841328542261,0.2963573764834429,7.943793232389392
Rh-rich,152,17.42,20.44,0.0043271420943432,-5.442847979280843,0.2998452662217556,8.178225723936496
Rh-rich,192,21.7,19.77,0.0036697434864943,-5.607633514046607,0.2918279164373265,8.186291355790225
Rh-rich,232,27.06,19.05,0.0031824799883706,-5.750094515574289,0.2907949154910977,8.400263839982209
Rh-rich,273,25.54,13.74,0.003585602339967,-5.630828802316586,0.2777271909361813,7.804414035742358
Rh-rich,322,27.44,9.7,0.003627478377255,-5.619217534007984,0.2992198770530208,8.182874547127474
